Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Firefox 66.0,,2019-05-07 12:49:10,2019-05-07 12:49:51,40.821s,PASSED
,,,,,,
Test Cases/Project_Regression_Sprint2_Release1.O/Verify user can able to create a lead and convert to opportunity,Firefox 66.0,,2019-05-07 12:49:11,2019-05-07 12:49:48,37.849s,PASSED
"openBrowser("""")",Firefox 66.0,,2019-05-07 12:49:11,2019-05-07 12:49:22,11.224s,PASSED
navigateToUrl(Application_URL),Firefox 66.0,,2019-05-07 12:49:22,2019-05-07 12:49:25,2.879s,PASSED
maximizeWindow(),Firefox 66.0,,2019-05-07 12:49:25,2019-05-07 12:49:25,0.022s,PASSED
"waitForElementPresent(findTestObject(""LoginPage_WebElements/username""), 10)",Firefox 66.0,,2019-05-07 12:49:25,2019-05-07 12:49:25,0.040s,PASSED
"click(findTestObject(""LoginPage_WebElements/username""))",Firefox 66.0,,2019-05-07 12:49:25,2019-05-07 12:49:25,0.280s,PASSED
"sendKeys(findTestObject(""LoginPage_WebElements/username""), Username)",Firefox 66.0,,2019-05-07 12:49:25,2019-05-07 12:49:25,0.081s,PASSED
"sendKeys(findTestObject(""Object Repository/LoginPage_WebElements/password""), Password)",Firefox 66.0,,2019-05-07 12:49:25,2019-05-07 12:49:25,0.036s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LoginPage_WebElements/Login""), 10)",Firefox 66.0,,2019-05-07 12:49:25,2019-05-07 12:49:26,0.064s,PASSED
"click(findTestObject(""Object Repository/LoginPage_WebElements/Login""))",Firefox 66.0,,2019-05-07 12:49:26,2019-05-07 12:49:27,1.225s,PASSED
"println(""User logged in salesforce application successfully"")",Firefox 66.0,,2019-05-07 12:49:27,2019-05-07 12:49:27,0.003s,PASSED
"println(""Creating the Lead "")",Firefox 66.0,,2019-05-07 12:49:27,2019-05-07 12:49:27,0.001s,PASSED
Thread.sleep(5000),Firefox 66.0,,2019-05-07 12:49:27,2019-05-07 12:49:32,5.004s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LeadPage_WebElements/Leads_HomeButton""), 50)",Firefox 66.0,,2019-05-07 12:49:32,2019-05-07 12:49:38,5.797s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Leads_HomeButton""))",Firefox 66.0,,2019-05-07 12:49:38,2019-05-07 12:49:38,0.246s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/LeadPage_WebElements/Lead_New Button""), 20)",Firefox 66.0,,2019-05-07 12:49:38,2019-05-07 12:49:39,1.084s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Lead_New Button""))",Firefox 66.0,,2019-05-07 12:49:39,2019-05-07 12:49:39,0.422s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LeadPage_WebElements/Salutation""), 20)",Firefox 66.0,,2019-05-07 12:49:39,2019-05-07 12:49:41,1.827s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Salutation""))",Firefox 66.0,,2019-05-07 12:49:41,2019-05-07 12:49:41,0.378s,PASSED
delay(2),Firefox 66.0,,2019-05-07 12:49:41,2019-05-07 12:49:44,2.023s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/LeadPage_WebElements/Salutation_Selection""), 20)",Firefox 66.0,,2019-05-07 12:49:44,2019-05-07 12:49:44,0.014s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Salutation_Selection""))",Firefox 66.0,,2019-05-07 12:49:44,2019-05-07 12:49:44,0.273s,PASSED
delay(1),Firefox 66.0,,2019-05-07 12:49:44,2019-05-07 12:49:45,1.006s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LeadPage_WebElements/FirstName""), 5)",Firefox 66.0,,2019-05-07 12:49:45,2019-05-07 12:49:45,0.021s,PASSED
"sendKeys(findTestObject(""LeadPage_WebElements/FirstName""), findTestData(""Project_TestDataSheet/TestData"").getValue(2, 1))",Firefox 66.0,,2019-05-07 12:49:45,2019-05-07 12:49:46,0.936s,PASSED
"sendKeys(findTestObject(""Object Repository/LeadPage_WebElements/LastName""), findTestData(""Project_TestDataSheet/TestData"").getValue(3, 1))",Firefox 66.0,,2019-05-07 12:49:46,2019-05-07 12:49:46,0.092s,PASSED
"scrollToElement(findTestObject(""Object Repository/LeadPage_WebElements/Company""), 10)",Firefox 66.0,,2019-05-07 12:49:46,2019-05-07 12:49:46,0.029s,PASSED
"sendKeys(findTestObject(""Object Repository/LeadPage_WebElements/Company""), findTestData(""Project_TestDataSheet/TestData"").getValue(4, 1))",Firefox 66.0,,2019-05-07 12:49:46,2019-05-07 12:49:46,0.112s,PASSED
"sendKeys(findTestObject(""Object Repository/LeadPage_WebElements/Email""), findTestData(""Project_TestDataSheet/TestData"").getValue(5, 1))",Firefox 66.0,,2019-05-07 12:49:46,2019-05-07 12:49:46,0.142s,PASSED
delay(2),Firefox 66.0,,2019-05-07 12:49:46,2019-05-07 12:49:48,2.005s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Save""))",Firefox 66.0,,2019-05-07 12:49:48,2019-05-07 12:49:48,0.270s,PASSED
